conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1596035962252931074","Fri Nov 25 19:36:07 +0000 2022","1","@ASTROARENA Warna pelangi dilarang dlm fifa Qatar tp pemain USA ada warnakan pd rambut dia. Bole tgok pemain USA.","1596226242248060928","","ASTROARENA","in","","0","0","0","https://twitter.com/MohdNoh55677011/status/1596226242248060928","1201826618701803521","MohdNoh55677011"
"1595998212250374144","Fri Nov 25 19:33:59 +0000 2022","1","@ASTROARENA Ada pemain dpd USA warnakan pelangi pd rambut warna ini dilarang dlm fifa Qatar world cup. TAK percaya bole tgok rambut pemain USA ini. USA.......","1596225705884684288","","ASTROARENA","in","","0","0","0","https://twitter.com/MohdNoh55677011/status/1596225705884684288","1201826618701803521","MohdNoh55677011"
"1595901323148349440","Fri Nov 25 19:23:32 +0000 2022","2","@tanyarlfes qatar tuan rumah kalian tamu harus patuhi peraturan nya lah apa susah nya sih gapake atribut pelangi gabakal mati juga anjir kalian menyimpang ya menyimpang aja jangan ajak ajak orang lain kntl","1596223076789669889","","tanyarlfes","in","Washington, DC","0","0","0","https://twitter.com/redmarshmelloww/status/1596223076789669889","1557386897709617152","redmarshmelloww"
"1596194026444976128","Fri Nov 25 17:28:06 +0000 2022","0","Terlepas ge pro ato contra terhadap issue LGBTQ . World Cup di Qatar dilarang .pake ornamen pelangi. Gw banyak temen Gay Lesbi gw respect Tp kalian jg harus respect pada Qatar disana dilarang menurut agamanya. Dimana Bumi dipijak disitu Langit Dijunjung. Udah sesimple itu ","1596194026444976128","","","in","Semarang, Jawa Tengah","0","0","0","https://twitter.com/reyesrajendra/status/1596194026444976128","75738175","reyesrajendra"
"1596000750274240513","Fri Nov 25 17:06:35 +0000 2022","0","@memefess Tapi tetep aja kok penyuka pantat berlobang bisa ngalahin aturan di Qatar nyata nya mereka udah boleh pakek atribut pelangi pelangi itu kan","1596188611677892610","","memefess","in","","0","0","0","https://twitter.com/gtptrjk/status/1596188611677892610","1015883465110142977","gtptrjk"
"1596186395827007488","Fri Nov 25 16:57:47 +0000 2022","2","Bebas bawa atribut Pelangi Mas di Qatar...@dwioktariyadi ...","1596186395827007488","","","in","","0","0","0","https://twitter.com/GagakNew/status/1596186395827007488","952820028839088128","GagakNew"
"1596105168633724930","Fri Nov 25 16:48:59 +0000 2022","20","@wptlzkmoonb @sunfleowr Larangannya diumumin karena di Eropa marak bgt bendera pelangi di tiap pertandingan. Qatar cuma ngingetin di awal biar sama2 ngerti. Yg ngeramein ya negara2 barat yg ngga terima","1596184181809483776","","wptlzkmoonb","in","Indonesia","0","0","0","https://twitter.com/saludosparatii/status/1596184181809483776","1324641125785763840","saludosparatii"
"1596182604088107008","Fri Nov 25 16:42:43 +0000 2022","3","Tak cuma bendera dan ornamen pelangi simbol LGBT yang dilarang di Piala Dunia 2022 FIFA juga melarang fans mengenakan kostum perang salib di Qatar. #juaraboladunia https://t.co/daY3yi4lJc","1596182604088107008","","","in","","0","2","1","https://twitter.com/detikcom/status/1596182604088107008","69183155","detikcom"
"1595855076840513536","Fri Nov 25 16:36:48 +0000 2022","0","@arema_98 Parah si securitynya qatar bendera daerah di brazil aja ada pelangi nya dikit lgsg disita abis itu diinjek kgk ada nanya dulu gitu","1596181116612141056","","arema_98","in","","0","0","0","https://twitter.com/AmadeusNawawi/status/1596181116612141056","244880924","AmadeusNawawi"
"1596172321420890112","Fri Nov 25 16:01:51 +0000 2022","0","Padahal kemarin dah ada yang bilang lho intinya kamu bisa tetep jadi gay tapi semua ini soal propaganda. Lo pada cuma diminta buat kaga pake atribut pelangi selama WC bukan dipaksa jadi straight lho Apa susahnya respect sama tuan rumah. Lagian WC di Qatar kaga selamanya jir","1596172321420890112","","","in","ᴜɴʟᴀʙᴇʟᴇᴅ | ᴍᴅɴɪ","0","0","0","https://twitter.com/sayrawwrr/status/1596172321420890112","1523480060640231424","sayrawwrr"
